metric,value,category
accuracy,0.5,performance
balanced_accuracy,0.5,performance
precision,0.5,performance
recall,0.3333333333333333,performance
f1_score,0.4,performance
precision_macro,0.5,macro_average
recall_macro,0.5,macro_average
f1_score_macro,0.4857142857142857,macro_average
true_positives,1.0,confusion_matrix
true_negatives,2.0,confusion_matrix
false_positives,1.0,confusion_matrix
false_negatives,2.0,confusion_matrix
sensitivity,0.3333333333333333,additional_metrics
specificity,0.6666666666666666,additional_metrics
npv,0.5,additional_metrics
total_studies,6.0,counts
correct_predictions,3.0,counts
incorrect_predictions,3.0,counts
