metric,value,category
accuracy,0.6666666666666666,performance
balanced_accuracy,0.6666666666666666,performance
precision,0.6,performance
recall,1.0,performance
f1_score,0.75,performance
precision_macro,0.8,macro_average
recall_macro,0.6666666666666666,macro_average
f1_score_macro,0.625,macro_average
true_positives,3.0,confusion_matrix
true_negatives,1.0,confusion_matrix
false_positives,2.0,confusion_matrix
false_negatives,0.0,confusion_matrix
total_studies,6.0,counts
correct_predictions,4.0,counts
incorrect_predictions,2.0,counts
